volume-price-tag,sku-product,product-name,price,in-stock,prod-weight
Volume Pricing,TL-TAPO C520WS,TPLINK IP CAMERA OUTDOOR 2K QHD PAN/TILT SECURITY WI-FI WITH STARLIGHT COLOR NIGHT VISION,"RM
                                        155.00",In Stock,Weight: 0.8kg
Volume Pricing,TL-TAPO C325WB,TPLINK IP CAMERA OUTDOOR 2K QHD WI-FI WITH COLORPRO NIGHT VISION,"RM
                                        239.00",In Stock,Weight: 0.57kg
Volume Pricing,TL-TAPO TC65,TPLINK IP CAMERA OUTDOOR 3MP WI-FI WITH ADVANCED NIGHT VISION UP TO 30M,"RM
                                        122.00",In Stock,Weight: 0.57kg
Volume Pricing,TL-TAPO C310,TPLINK IP CAMERA OUTDOOR 3MP WI-FI WITH ADVANCED NIGHT VISION UP TO 30M,"RM
                                        122.00",In Stock,Weight: 0.57kg
Volume Pricing,TL-TAPO C320WS,TPLINK IP CAMERA OUTDOOR 4MP/2K COLOUR NIGHT VISION IP66 WATERPROOF,"RM
                                        138.00",In Stock,Weight: 0.84kg
Volume Pricing,TL-TAPO C420S1,TPLINK IP CAMERA SMART WIRE-FREE  1 x 2K QHD CAMERA SYSTEM WITH 5200MAH RECHARGABLE BATTERY,"RM
                                        433.00",In Stock,Weight: 0.83kg
Volume Pricing,TL-M7350,TPLINK LTE MOBILE WIFI 4G ADVANCED (2000MAH RECHARGEABLE BATTERY),"RM
                                        175.00",In Stock,Weight: 0.3kg
Volume Pricing,TL-ARCHER MR500,TPLINK LTE ROUTER  AC1200 4G WIRELESS DUAL BAND CAT 6 GIGABIT,"RM
                                        296.00",Out of Stock,Weight: 0.8kg
Volume Pricing,TL-MR6400APAC,TPLINK LTE ROUTER 300MBPS WIRELESS N 4G,"RM
                                        171.00",Out of Stock,Weight: 0.8kg
Volume Pricing,TL-ARCHER MR400,TPLINK LTE ROUTER AC1200 WIRELESS DUAL BAND 4G,"RM
                                        228.00",Out of Stock,Weight: 0.8kg
Volume Pricing,TL-ARCHER MR200,TPLINK LTE ROUTER AC750  WIRELESS DUAL BAND 4G,"RM
                                        332.00",Out of Stock,Weight: 0.8kg
Volume Pricing,TL-M7200,TPLINK LTE-ADVANCE MOBILE WIFI 150Mbps,"RM
                                        210.00",Out of Stock,Weight: 0.18kg
Volume Pricing,TL-M7450,TPLINK LTE-ADVANCED MOBILE WI-FI 300Mbps,"RM
                                        432.00",In Stock,Weight: 1.2kg
Volume Pricing,TL-M7650,TPLINK LTE-ADVANCED MOBILE WI-FI 600MBPS (3000MAH RECHARGEABLE BATTERY),"RM
                                        565.00",In Stock,Weight: 0.26kg
Volume Pricing,TL-DECO X50-OUTDOOR (1-PACK),TPLINK MESH AX3000 OUTDOOR DUAL BAND WIFI 6 WHOLE HOME MESH,"RM
                                        386.00",In Stock,Weight: 1.1kg
Volume Pricing,TL-DECO M4 (3-PACK),TPLINK MESH WI-FI AC1200 DUAL BAND  GIGABIT LAN/WAN PORT WITH 2 INTERNAL ANTENNA,"RM
                                        420.00",In Stock,Weight: 2.56kg
Volume Pricing,TL-DECO M4 (2-PACK),TPLINK MESH WI-FI AC1200 DUAL BAND  GIGABIT LAN/WAN PORT WITH 2 INTERNAL ANTENNA,"RM
                                        286.00",In Stock,Weight: 1.62kg
Volume Pricing,TL-DECO M3 (3-PACK),TPLINK MESH WI-FI AC1200 DUAL BAND  GIGABIT LAN/WAN PORT WITH 2 INTERNAL ANTENNA,"RM
                                        480.00",Out of Stock,Weight: 1.48kg
Volume Pricing,TL-DECO X20 (2-PACK),TPLINK MESH WI-FI AX1800 DUAL BAND (WIFI 6) GIGABIT LAN/WAN PORT WITH 2 INTERNAL ANTENNA,"RM
                                        404.00",Out of Stock,Weight: 2.1kg
Volume Pricing,TL-DECO X20 (1-PACK),TPLINK MESH WI-FI AX1800 DUAL BAND (WIFI 6) GIGABIT LAN/WAN PORT WITH 2 INTERNAL ANTENNA,"RM
                                        202.00",Out of Stock,Weight: 1.14kg
Volume Pricing,TL-DECO X20 (3-PACK),TPLINK MESH WI-FI AX1800 DUAL BAND (WIFI 6) GIGABIT LAN/WAN PORT WITH 2 INTERNAL ANTENNA,"RM
                                        590.00",Out of Stock,Weight: 2.9kg
Volume Pricing,TL-DECO X50 (1-PACK),TPLINK MESH WI-FI AX3000 DUAL BAND (WIFI 6) 2 x GIGABIT LAN/WAN PORS WITH 4 INTERNAL ANTENNAS,"RM
                                        258.00",In Stock,Weight: 1.3kg
Volume Pricing,TL-DECO X50 (2-PACK),TPLINK MESH WI-FI AX3000 DUAL BAND (WIFI 6) 2 x GIGABIT LAN/WAN PORS WITH 4 INTERNAL ANTENNAS,"RM
                                        485.00",In Stock,Weight: 1.96kg
Volume Pricing,TL-DECO X50 (3-PACK),TPLINK MESH WI-FI AX3000 DUAL BAND (WIFI 6) 2 x GIGABIT LAN/WAN PORS WITH 4 INTERNAL ANTENNAS,"RM
                                        695.00",In Stock,Weight: 2.68kg
Volume Pricing,TL-DECO XE75 (2-PACK),TPLINK MESH WI-FI AXE5400 TRI-BAND WIFI 6E WITH 4 INTERNAL ANTENNAS,"RM
                                        1,031.00",Out of Stock,Weight: 2.4kg
Volume Pricing,TL-DECO XE75 (1-PACK),TPLINK MESH WI-FI AXE5400 TRI-BAND WIFI 6E WITH 4 INTERNAL ANTENNAS,"RM
                                        558.00",Out of Stock,Weight: 1.28kg
Volume Pricing,TL-DECO X95 (1-PACK),TPLINK MESH WI-FI ROUTER AX7800 TRI-BAND WIFI 6 WITH 2.5G PORT,"RM
                                        773.00",Out of Stock,Weight: 2.83kg
Volume Pricing,TL-DECO X10-4G,TPLINK MESH WIFI 4G+ AX1500 WHOLE HOME MESH WIFI 6 GATEWAY,"RM
                                        293.00",Out of Stock,Weight: 1.02kg
Volume Pricing,TL-DECO X50-5G,TPLINK MESH WIFI 5G AX3000 WHOLE HOME MESH WIFI 6 GATEWAY,"RM
                                        685.00",In Stock,Weight: 1.68kg
Volume Pricing,TL-DECO X50-POE (3-PACK),TPLINK MESH WIFI AX3000 DUAL BAND WIFI 6 WITH 4 INTERNAL ANTENNAS AND SUPPORT POE,"RM
                                        945.00",In Stock,Weight: 2.9kg
Volume Pricing,TL-DECO X50-POE (2-PACK),TPLINK MESH WIFI AX3000 DUAL BAND WIFI 6 WITH 4 INTERNAL ANTENNAS AND SUPPORT POE,"RM
                                        652.00",Out of Stock,Weight: 2.02kg
Volume Pricing,TL-DECO X50-POE (1-PACK),TPLINK MESH WIFI AX3000 DUAL BAND WIFI 6 WITH 4 INTERNAL ANTENNAS AND SUPPORT POE,"RM
                                        343.00",In Stock,Weight: 1.16kg
Volume Pricing,TL-DECO X80 (2-PACK),TPLINK MESH WIFI AX6000 DUAL BAND WIFI 6 WITH 4 INTERNAL ANTENNAS AND 2.5G PORT,"RM
                                        1,117.00",Out of Stock,Weight: 2.29kg
Volume Pricing,TL-MR100-OUTDOOR,TPLINK MR100 OUTDOOR 4G 300MBPS WIFI ROUTER,"RM
                                        222.00",,
Volume Pricing,TL-MR505,TPLINK MR505 4G+ CAT6 AC1200 WIRELESS DUAL BAND GIGABIT ROUTER,"RM
                                        255.00",In Stock,Weight: 1.05kg
Volume Pricing,TL-ARCHER T3U NANO,TPLINK NANO WIFI ADAPTER AC1300 DUAL BAND WIRELESS USB,"RM
                                        67.00",In Stock,Weight: 0.1kg
Volume Pricing,TL-ARCHER T2U NANO,TPLINK NANO WIFI ADAPTER AC600 DUAL BAND WIRELESS USB,"RM
                                        46.00",In Stock,Weight: 0.1kg
Volume Pricing,TL-NE210-OUTDOOR,TPLINK NE210 OUTDOOR 5G ROUTER,"RM
                                        1,199.00",Out of Stock,
Volume Pricing,TL-ARCHER NX200,TPLINK NX200 5G AX1800 WIRELESS DUAL BAND GIGABIT ROUTER,"RM
                                        604.00",In Stock,Weight: 1.18kg
Volume Pricing,TL-TAPO C501GW,TPLINK OUTDOOR 4G LTE 1080P PAN/TILT IP CAMERA,"RM
                                        212.00",In Stock,Weight: 0.82kg
Volume Pricing,TL-TAPO TC40GW,TPLINK OUTDOOR 4G LTE 1080P PAN/TILT IP CAMERA,"RM
                                        205.00",In Stock,Weight: 0.84kg
Volume Pricing,TL-ARCHER TX55E,TPLINK PCI EXPRESS ADAPTER AX3000 DUAL BAND WI-FI 6 BLUETOOTH 5.2,"RM
                                        102.00",In Stock,Weight: 0.24kg
Volume Pricing,TL-ARCHER TXE75E,TPLINK PCI EXPRESS ADAPTER AXE5400 TRI-BAND WI-FI 6E BLUETOOTH 5.2 C/W ANTENNA EXT CABLE & BASE,"RM
                                        171.00",In Stock,Weight: 0.5kg
Volume Pricing,TL-ARCHER TX20E,TPLINK PCIE ADAPTER AX1800 DUAL BAND WI-FI 6 BLUETOOTH 5.2,"RM
                                        85.00",In Stock,Weight: 0.23kg
Volume Pricing,TL-WPA7617 KIT,"TPLINK POWERLINE AV1000 GIGABIT AC1200 WI-FI KIT , WPA7617 + PA7017P","RM
                                        272.00",In Stock,Weight: 0.68kg
Volume Pricing,TL-PA7017 KIT,TPLINK POWERLINE ETHERNET ADAPTER AV1000 GIGABIT STARTER KIT (TWIN PACK),"RM
                                        146.00",In Stock,Weight: 0.45kg
Volume Pricing,TL-WA860RE,TPLINK RANGE EXTENDER 300MBPS WIRELESS N WALL PLUGGED WITH AC PASSTHROUGH,"RM
                                        63.00",Out of Stock,Weight: 0.34kg
Volume Pricing,TL-RE305(UK),TPLINK RANGE EXTENDER AC1200 WI-FI WALL PLUGGED,"RM
                                        106.00",In Stock,Weight: 0.3kg
Volume Pricing,TL-RE205,TPLINK RANGE EXTENDER AC750 WI-FI WALL PLUGGED,"RM
                                        103.00",In Stock,Weight: 0.27kg
Volume Pricing,TL-RE505X,TPLINK RANGE EXTENDER AX1500 DUAL BAND 2.4 + 5GHZ,"RM
                                        149.00",In Stock,Weight: 0.46kg
Volume Pricing,TL-RE605X,TPLINK RANGE EXTENDER AX1800 DUAL BAND 2.4 + 5GHZ,"RM
                                        198.00",In Stock,Weight: 0.45kg
Volume Pricing,TL-RE705X,TPLINK RANGE EXTENDER AX3000 WIFI 6 DUAL BAND 2.4 + 5GHZ,"RM
                                        186.00",In Stock,Weight: 0.46kg
Volume Pricing,TL-WA850RE,TPLINK RANGE EXTENDER N300 WIRELESS 2.4GHZ WITH 2 INTERNAL ANTENNA & 10/100MBPS LAN PORT,"RM
                                        57.00",In Stock,Weight: 0.28kg
Volume Pricing,TL-RE235BE,TPLINK RE235BE BE3600 DUAL BAND WIFI 7 RANGE EXTENDER,"RM
                                        282.00",,
Volume Pricing,TL-TAPO RVA101,"TPLINK REPLACEMENT KIT ( MAIN BRUSH x 1, SIDE BRUSH x 2, WASHABLE HEPA FILTER x 2 )","RM
                                        58.50",Out of Stock,Weight: 0.37kg
Volume Pricing,TL-TAPO RVA301,TPLINK ROBOR VACUUM WASHABLE MOP CLOTH (5 PCS),"RM
                                        40.00",In Stock,Weight: 0.12kg
Volume Pricing,TL-TAPO RVA202,TPLINK ROBOT VACUUM DISPOSABLE DUST BAG (5 PCS),"RM
                                        40.00",In Stock,Weight: 0.33kg
Volume Pricing,TL-TAPO RVA105,"TPLINK ROBOT VACUUM REPLACEMENT KIT ( MAIN BRUSH x 1, SIDE BRUSH x 2, WASHABLE HEPA FILTER x 2 )","RM
                                        48.00",In Stock,Weight: 0.3kg
Volume Pricing,TL-ARCHER C54,TPLINK ROUTER AC1200 DUAL BAND 1  WAN +4 LAN PORT 10/100MBPS WITH MU-MIMO BEAMFORMING,"RM
                                        107.00",Out of Stock,Weight: 0.71kg
Volume Pricing,TL-ARCHER C64,"TPLINK ROUTER AC1200 DUAL BAND, MU-MIMO, BEAMFORMING","RM
                                        136.00",In Stock,Weight: 0.85kg
Volume Pricing,TL-ARCHER C80,TPLINK ROUTER AC1900 DUAL BAND MU-MIMO WIRELESS GIGABIT (SUPPORT 500MBPS),"RM
                                        153.00",Out of Stock,Weight: 1.14kg
Volume Pricing,TL-ARCHER C24,TPLINK ROUTER AC750 DUAL BAND 1 WAN +4 LAN PORT 10/100MBPS,"RM
                                        92.00",Out of Stock,Weight: 0.69kg
Volume Pricing,TL-ARCHER AX12,TPLINK ROUTER AX1500 DUAL BAND WIRELESS GIGABIT (WIFI 6),"RM
                                        150.00",In Stock,Weight: 0.96kg
Volume Pricing,TL-ARCHER AX23,TPLINK ROUTER AX1800 DUAL BAND MU-MIMO BEAMFORMING WIRELESS GIGABIT (WIFI 6),"RM
                                        196.00",In Stock,Weight: 1.02kg
Volume Pricing,TL-ARCHER AX55,TPLINK ROUTER AX3000 DUAL BAND MU-MIMO BEAMFORMING WIRELESS GIGABIT (WIFI 6),"RM
                                        257.00",Out of Stock,Weight: 1.02kg
Volume Pricing,TL-ARCHER AX53,TPLINK ROUTER AX3000 DUAL BAND WIRELESS GIGABIT (WIFI 6),"RM
                                        214.00",In Stock,Weight: 0.93kg
Volume Pricing,TL-ARCHER AX55 PRO,TPLINK ROUTER AX3000 WIFI 6 DUAL BAND MU-MIMO WIRELESS GIGABIT with 1 x 2.5 GIGABIT WAN/LAN PORT,"RM
                                        253.00",Out of Stock,Weight: 1kg
Volume Pricing,TL-ARCHER AX72,TPLINK ROUTER AX5400 DUAL BAND MU-MIMO BEAMFORMING WIRELESS GIGABIT (WIFI 6),"RM
                                        386.00",Out of Stock,Weight: 1.79kg
Volume Pricing,TL-ARCHER AX73,TPLINK ROUTER AX5400 DUAL BAND MU-MIMO BEAMFORMING WIRELESS GIGABIT (WIFI 6),"RM
                                        429.00",Out of Stock,Weight: 1.71kg
Volume Pricing,TL-ARCHER AXE75,"TPLINK ROUTER AX5400 TRI-BAND WI-FI 6E ROUTER , 6X ANTENNA","RM
                                        515.00",Out of Stock,Weight: 1.86kg
Volume Pricing,TL-ARCHER AX72 PRO,TPLINK ROUTER AX5400 WIFI 6 DUAL BAND MU-MIMO WIRELESS GIGABIT with 1 x 2.5 GIGABIT WAN/LAN PORT,"RM
                                        454.00",Out of Stock,Weight: 1.5kg
Volume Pricing,TL-ARCHER AX80,TPLINK ROUTER AX6000 DUAL BAND WIFI 6 WITH BEAMFORMING AND ONE MESH,"RM
                                        601.00",Out of Stock,Weight: 3.76kg
Volume Pricing,TL-TAPO RV20 MAX,TPLINK RV20 MAX 5300PA SUCTION ROBOT VACUUM AND MOP,"RM
                                        599.00",In Stock,Weight: 5.4kg
Volume Pricing,TL-TAPO RV30 MAX,TPLINK RV30 MAX 5300PA SUCTION ROBOT VACUUM AND MOP,"RM
                                        685.00",In Stock,Weight: 5.53kg
Volume Pricing,TL-TAPO P100,TPLINK SMART PLUG WIFI 2.4GHZ 802.1 B/G/N (TAPO SERIES),"RM
                                        30.00",In Stock,Weight: 0.14kg
Volume Pricing,TL-TAPO P100 (2-PACK),TPLINK SMART PLUG WIFI 2.4GHZ 802.1 B/G/N (TAPO SERIES),"RM
                                        59.50",In Stock,Weight: 0.22kg
Volume Pricing,TL-TAPO P100 (4-PACK),TPLINK SMART PLUG WIFI 2.4GHZ 802.1 B/G/N (TAPO SERIES),"RM
                                        116.50",In Stock,Weight: 0.45kg
Volume Pricing,TL-TAPO P110 (2-PACK),TPLINK SMART PLUG WIFI 2.4GHZ 802.1 B/G/N ENERGY MONITORING (TAPO SERIES),"RM
                                        65.00",In Stock,Weight: 0.13kg
Volume Pricing,TL-TAPO P110 (4-PACK),TPLINK SMART PLUG WIFI 2.4GHZ 802.1 B/G/N ENERGY MONITORING (TAPO SERIES),"RM
                                        129.00",In Stock,Weight: 0.44kg
Volume Pricing,TL-TAPO P110,TPLINK SMART PLUG WIFI 2.4GHZ 802.1 B/G/N EVERGY MONITORING (TAPO SERIES),"RM
                                        33.50",In Stock,Weight: 0.14kg
Volume Pricing,TL-KP303,TPLINK SMART WIFI 2.4GHZ B/G/N 3OUTLETS SURGE PROTECTION WITH 2USB PORTS,"RM
                                        113.00",,Weight: 4.8kg
Volume Pricing,TL-XZ000-G7,TPLINK SMB OMADA 1-PORT GIGABIT XPON SFU,"RM
                                        110.00",Out of Stock,Weight: 0.18kg
Volume Pricing,TL-VIGI-NVR4032H,TPLINK SMB VIGI 32 CHANNEL NETWORK VIDEO RECORDER,"RM
                                        999.00",In Stock,Weight: 5.24kg
Volume Pricing,TL-TAPO A201,TPLINK TAPO A201 SOLAR PANEL,"RM
                                        64.00",In Stock,Weight: 0.62kg
Volume Pricing,TL-TAPO A100,TPLINK TAPO BATTERY PACK 6700MAH LARGE CAPACITY,"RM
                                        86.00",Out of Stock,Weight: 0.26kg
Volume Pricing,TL-TAPO C200C,TPLINK TAPO C200C PAN/TILT 1080P HOME WI-FI CAMERA,"RM
                                        68.00",In Stock,Weight: 0.56kg
Volume Pricing,TL-TAPO C202,TPLINK TAPO C202 IP CAMERA 2MP 1080P PAN/TILT WITH LAN PORT,"RM
                                        73.00",In Stock,Weight: 0.49kg
Volume Pricing,TL-TAPO C211,TPLINK TAPO C211 IP CAMERA 3MP 2K PAN/TILT (BLACK),"RM
                                        80.00",In Stock,Weight: 1kg
Volume Pricing,TL-TAPO C212,TPLINK TAPO C212 IP CAMERA 3MP 2K PAN/TILT WITH LAN PORT,"RM
                                        80.00",In Stock,Weight: 0.49kg
Volume Pricing,TL-TAPO C220,TPLINK TAPO C220 4MP 2K QHD PAN/TILT AI HOME SECURITY WIFI CAMERA,"RM
                                        91.00",In Stock,Weight: 0.56kg
Volume Pricing,TL-TAPO C222,TPLINK TAPO C222 4MP 2K QHD PAN/TILT WI-FI CAMERA WITH LAN PORT,"RM
                                        94.00",In Stock,Weight: 0.49kg
Volume Pricing,TL-TAPO C230,TPLINK TAPO C230 5MP 3K PAN/TILT AI HOME SECURITY WIFI CAMERA,"RM
                                        110.00",In Stock,Weight: 0.51kg
Volume Pricing,TL-TAPO C410,TPLINK TAPO C410 3MP SMART WIRE-FREE SECURITY CAMERA WITH 6400MAH BATTERY,"RM
                                        211.00",In Stock,Weight: 0.5kg
Volume Pricing,TL-TAPO C410 KIT,TPLINK TAPO C410 KIT INCLUDE TAPO C410 3MP SMART WIRE-FREE SECURITY CAMERA + TAPO A201 SOLAR PANEL,"RM
                                        228.00",In Stock,Weight: 0.98kg
Volume Pricing,TL-TAPO C425,TPLINK TAPO C425 4MP 2K QHD SMART WIRE-FREE SECURITY CAMERA WITH 10000 MAH BATTERY,"RM
                                        248.00",In Stock,Weight: 0.86kg
Volume Pricing,TL-TAPO C530WS,TPLINK TAPO C530WS 5MP 3K OUTDOOR PAN/TILT SECURITY WI-FI CAMERA,"RM
                                        178.00",In Stock,Weight: 0.84kg
Volume Pricing,TL-TAPO D210,TPLINK TAPO D210 3MP VIDEO DOORBELL CAMERA,"RM
                                        167.00",In Stock,Weight: 0.58kg
Volume Pricing,TL-TAPO D235,TPLINK TAPO D235 5MP VIDEO DOORBELL CAMERA,"RM
                                        298.00",Out of Stock,Weight: 0.7kg
Volume Pricing,TL-TAPO H110,TPLINK TAPO H110 SMART IR & IOT HUB,"RM
                                        80.00",In Stock,
Volume Pricing,TL-TAPO H500,TPLINK TAPO H500 SMART HOMEBASE,"RM
                                        405.00",In Stock,Weight: 1.07kg
Volume Pricing,TL-TAPO P110M,TPLINK TAPO P110M MINI SMART WI-FI PLUG,"RM
                                        36.50",In Stock,Weight: 0.1kg
Volume Pricing,TL-TAPO P304M,TPLINK TAPO P304M SMART WIFI POWER STRIP,"RM
                                        111.00",In Stock,Weight: 1.56kg
Volume Pricing,TL-TAPO RVA200,TPLINK TAPO ROBOT VACUUM 4L DISPOSABLE DUST BAG x 3,"RM
                                        50.00",In Stock,Weight: 0.95kg
Volume Pricing,TL-TAPO RVA400,TPLINK TAPO ROBOT VACUUM MAGNETIC BOUNDARY STRIP,"RM
                                        67.00",Out of Stock,Weight: 0.9kg
Volume Pricing,TL-TAPO D230S1,TPLINK TAPO SMART BATTERY 5MP VIDEO DOORBELL WITH FULL-COLOR NIGHT VISION,"RM
                                        303.00",In Stock,Weight: 0.64kg
Volume Pricing,TL-TAPO S200B,TPLINK TAPO SMART BUTTON,"RM
                                        52.00",In Stock,Weight: 0.06kg
Volume Pricing,TL-TAPO T110,TPLINK TAPO SMART DOOR/WINDOW SENSOR,"RM
                                        52.00",In Stock,Weight: 0.12kg
Volume Pricing,TL-TAPO H100,TPLINK TAPO SMART IOT HUB WITH CHIME,"RM
                                        70.00",In Stock,Weight: 0.11kg
Volume Pricing,TL-TAPO S220,TPLINK TAPO SMART LIGHT SWITCH 2-GANG 1-WAY,"RM
                                        64.00",In Stock,Weight: 0.2kg
Volume Pricing,TL-TAPO T100,TPLINK TAPO SMART MOTION SENSOR,"RM
                                        61.00",In Stock,Weight: 0.12kg
Volume Pricing,TL-TAPO S200D,TPLINK TAPO SMART REMOTE DIMMER SWITCH,"RM
                                        53.00",In Stock,Weight: 0.14kg
Volume Pricing,TL-TAPO T315,TPLINK TAPO SMART TEMPERATURE AND HUMIDITY MONITOR,"RM
                                        85.00",In Stock,Weight: 0.08kg
Volume Pricing,TL-TAPO T310,TPLINK TAPO SMART TEMPERATURE AND HUMIDITY SENSOR,"RM
                                        52.00",In Stock,Weight: 0.05kg
Volume Pricing,TL-TAPO T300,TPLINK TAPO SMART WATER LEAK SENSOR,"RM
                                        61.00",In Stock,Weight: 0.1kg
Volume Pricing,TL-TAPO L510E,"TPLINK TAPO SMART WIFI LIGHT BULB , DIMMABLE","RM
                                        27.50",In Stock,Weight: 0.12kg
Volume Pricing,TL-TAPO L530E,"TPLINK TAPO SMART WIFI LIGHT BULB , MULTICOLOR","RM
                                        33.50",In Stock,Weight: 0.08kg
Volume Pricing,TL-TAPO L520E,"TPLINK TAPO SMART WIFI LIGHT BULB, DIMMABLE","RM
                                        27.50",In Stock,Weight: 0.08kg
Volume Pricing,TL-TAPO L900-5,"TPLINK TAPO SMART WIFI LIGHT STRIP , MULTICOLOR","RM
                                        85.50",In Stock,Weight: 0.56kg
Volume Pricing,TL-TAPO L900-10,"TPLINK TAPO SMART WIFI LIGHT STRIP , MULTICOLOR (10 METERS)","RM
                                        129.00",In Stock,Weight: 0.4kg
Volume Pricing,TL-TAPO L920-5,"TPLINK TAPO SMART WIFI LIGHT STRIP, MULTICOLOR -50 COLOUR ZONE","RM
                                        129.00",In Stock,Weight: 0.58kg
Volume Pricing,TL-TAPO L930-5,"TPLINK TAPO SMART WIFI LIGHT STRIP, MULTICOLOR (EXTRA WHITE LED)","RM
                                        172.00",In Stock,Weight: 0.67kg
Volume Pricing,TL-TAPO L610,"TPLINK TAPO SMART WIFI SPOTLIGHT , DIMMABLE","RM
                                        30.00",In Stock,Weight: 0.7kg
Volume Pricing,TL-TAPO L630,"TPLINK TAPO SMART WIFI SPOTLIGHT , MULTICOLOR","RM
                                        33.50",In Stock,Weight: 0.6kg
Volume Pricing,TL-TAPO A200,TPLINK TAPO SOLAR PANEL WITH 4M CHARGING CABLE,"RM
                                        86.00",Out of Stock,Weight: 1.24kg
Volume Pricing,TL-TAPO TC71,TPLINK TAPO TC71 3MP 1080P FULL HD PAN/TILT 300MBPS WIFI CAMERA,"RM
                                        80.00",Out of Stock,Weight: 0.56kg
Volume Pricing,TL-TAPO TC72,TPLINK TAPO TC72 4MP 2K QHD PAN/TILT AI HOME SECURITY WIFI CAMERA,"RM
                                        91.00",In Stock,Weight: 0.56kg
Volume Pricing,TL-TAPO TC74,TPLINK TAPO TC74 5MP 3K PAN/TILT AI HOME SECURITY WIFI CAMERA,"RM
                                        110.00",In Stock,Weight: 0.56kg
Volume Pricing,TL-TC82 KIT,TPLINK TAPO TC82 KIT SOLAR-POWERED SECURITY CAMERA KIT,"RM
                                        202.00",In Stock,Weight: 0.98kg
Volume Pricing,TL-ARCHER TBE400E,TPLINK TBE400E BE6500 WI-FI 7 BLUETOOTH 5.4 PCIE ADAPTER,"RM
                                        161.00",In Stock,Weight: 0.25kg
Volume Pricing,TL-ARCHER TBE550E,TPLINK TBE550E BE9300 WI-FI 7 BLUETOOTH 5.4 PCIE ADAPTER,"RM
                                        266.00",In Stock,Weight: 0.6kg
Volume Pricing,TL-ARCHER TBE552E,TPLINK TBE552E BE9300 WI-FI 7 BLUETOOTH 5.4 PCIE ADAPTER,"RM
                                        202.00",,
Volume Pricing,TL-WR902AC,TPLINK TRAVEL ROUTER AC750 DUAL BAND WIRELESS,"RM
                                        105.00",In Stock,Weight: 0.64kg
Volume Pricing,TL-ARCHER TX20U,TPLINK TX20U AX1800 WIFI 6 DUAL BAND USB ADAPTER,"RM
                                        85.00",In Stock,Weight: 0.22kg
Volume Pricing,TL-UA440C,TPLINK UA440C USB 3.0 TYPE-C TO SD & MICROSD 4.0 CARD READER,"RM
                                        52.50",In Stock,Weight: 0.07kg
Volume Pricing,TL-UA520C,TPLINK UA520C USB TYPE-C TO HDMI ADAPTER,"RM
                                        56.00",In Stock,Weight: 0.05kg
Volume Pricing,TL-UB500 PLUS,TPLINK UB500 PLUS LONG RANGE BLUETOOTH USB ADAPTER,"RM
                                        26.50",In Stock,Weight: 0.05kg
Volume Pricing,TL-UH3020C,TPLINK UH3020C USB TYPE-C 3-PORT HUB,"RM
                                        72.00",In Stock,Weight: 0.09kg
Volume Pricing,TL-UH5020C,TPLINK UH5020C USB TYPE-C 5-PORT HUB,"RM
                                        88.00",In Stock,Weight: 0.11kg
Volume Pricing,TL-UH6120C,TPLINK UH6120C USB TYPE-C 6-PORT HUB,"RM
                                        120.00",In Stock,Weight: 0.12kg
Volume Pricing,TL-UH7020C,TPLINK UH7020C USB TYPE-C 7-PORT HUB,"RM
                                        96.00",In Stock,Weight: 0.12kg
Volume Pricing,TL-UH7021C,TPLINK UH7021C USB TYPE-C 7-IN-1 HUB,"RM
                                        92.00",In Stock,
Volume Pricing,TL-UH9120C,TPLINK UH9120C USB TYPE-C 9-PORT HUB,"RM
                                        145.00",In Stock,Weight: 0.13kg
Volume Pricing,TL-LS1005,TPLINK UNMANAGED 10/100 5-PORT DESKTOP LITEWAVE SWITCH ( PLASTIC CASE ),"RM
                                        24.80",In Stock,Weight: 0.14kg
Volume Pricing,TL-LS1008,TPLINK UNMANAGED 10/100 8-PORT DESKTOP LITEWAVE SWITCH ( PLASTIC CASE ),"RM
                                        31.00",In Stock,Weight: 0.18kg
Volume Pricing,TL-SX105,TPLINK UNMANAGED 5-PORT 10G RJ45 SWITCH (TL-SX105),"RM
                                        771.00",In Stock,Weight: 1.56kg
Volume Pricing,TL-SG105-M2,TPLINK UNMANAGED 5-PORT 2.5 G RJ45 SWITCH (TL-SG105-M2),"RM
                                        242.00",In Stock,Weight: 1kg
Volume Pricing,TL-SX1008,TPLINK UNMANAGED 8-PORT 10G RJ45 SWITCH (TL-SX1008),"RM
                                        1,114.00",In Stock,Weight: 2.12kg
Volume Pricing,TL-SG108-M2,TPLINK UNMANAGED 8-PORT 2.5 G RJ45 SWITCH (TL-SG108-M2),"RM
                                        404.00",In Stock,Weight: 1.34kg
Volume Pricing,TL-SG105,TPLINK UNMANAGED PURE-GIGABIT 5-PORT DESKTOP,"RM
                                        78.00",In Stock,Weight: 0.52kg
Volume Pricing,TL-SG1005D,TPLINK UNMANAGED PURE-GIGABIT 5-PORT DESKTOP ( PLASTIC CASE ),"RM
                                        52.00",In Stock,Weight: 0.32kg
Volume Pricing,TL-LS105G,TPLINK UNMANAGED PURE-GIGABIT 5-PORT DESKTOP (LITEWAVE),"RM
                                        73.00",In Stock,Weight: 0.34kg
Volume Pricing,TL-LS1005G,TPLINK UNMANAGED PURE-GIGABIT 5-PORT DESKTOP LITEWAVE ( PLASTIC CASE ),"RM
                                        46.00",In Stock,Weight: 0.2kg
